,Date,Average
0,2019-01-31,0.0
1,2019-02-28,
2,2019-03-31,
3,2019-04-30,
4,2019-05-31,14356178.533333333
5,2019-06-30,0.0
6,2019-07-31,1002500.0
7,2019-08-31,0.0
8,2019-09-30,0.0
9,2019-10-31,484240.0
10,2019-11-30,1000000.0
